index,node,cnt
1131,111412,2
1132,111441,2
1133,111361,2
1134,111464,2
1135,772197,2
1136,1368507,2
1137,111432,2
1138,111603,2
1139,111304,2
1140,1060523,2
1141,118391,2
1142,111832,2
1143,102224,2
1144,102358,2
1145,1754997,2
1146,111471,2
1147,111728,2
1148,111797,2
1149,185180,2
1150,118364,2
1151,111617,2
1152,118372,2
1153,111546,2
1154,111539,2
1155,1359010,2
1156,111938,2
1157,102086,2
1158,111509,2
1159,111508,2
1160,111500,2
1161,2107225,2
1162,111514,2
1163,118380,2
1164,111438,2
1165,111842,2
1166,111907,2
1167,1449999,2
1168,118203,2
1169,112239,2
1170,1652488,2
1171,112317,2
1172,112224,2
1173,112207,2
1174,112222,2
1175,112196,2
1176,112219,2
1177,118241,2
1178,112220,2
1179,100079,2
1180,1060938,2
1181,1617835,2
1182,1125054,2
1183,536506,2
1184,752405,2
1185,99820,2
1186,1617151,2
1187,99745,2
1188,112260,2
1189,744070,2
1190,530289,2
1191,1568814,2
1192,112305,2
1193,1624570,2
1194,2612679,2
1195,2101193,2
1196,1129382,2
1197,1355739,2
1198,520594,2
1199,93280,2
1200,112329,2
1201,112225,2
1202,112299,2
1203,112257,2
1204,1231473,2
1205,112134,2
1206,111873,2
1207,1886321,2
1208,118271,2
1209,112135,2
1210,112082,2
1211,118284,2
1212,2392223,2
1213,111918,2
1214,111920,2
1215,1301891,2
1216,2441412,2
1217,2424950,2
1218,111901,2
1219,118311,2
1220,111929,2
1221,111910,2
1222,111880,2
1223,111891,2
1224,112016,2
1225,112137,2
1226,112011,2
1227,2419918,2
1228,2433459,2
1229,112105,2
1230,118244,2
1231,1433861,2
1232,1678386,2
1233,112202,2
1234,112115,2
1235,112095,2
1236,112128,2
1237,2139907,2
1238,112146,2
1239,2419831,2
1240,112067,2
1241,112106,2
1242,1472744,2
1243,1716404,2
1244,894479,2
1245,108186,2
1246,104234,2
1247,108373,2
1248,108496,2
1249,108350,2
1250,108297,2
1251,108272,2
1252,108370,2
1253,145841,2
1254,108384,2
1255,108302,2
1256,108316,2
1257,291976,2
1258,1253123,2
1259,145763,2
1260,108084,2
1261,145761,2
1262,796681,2
1263,852540,2
1264,108470,2
1265,1910448,2
1266,108578,2
1267,108527,2
1268,108572,2
1269,108608,2
1270,104095,2
1271,108502,2
1272,108391,2
1273,108485,2
1274,108568,2
1275,108409,2
1276,108406,2
1277,108404,2
1278,104121,2
1279,108085,2
1280,108233,2
1281,108089,2
1282,104425,2
1283,107686,2
1284,107783,2
1285,107901,2
1286,104393,2
1287,107743,2
1288,2026799,2
1289,104462,2
1290,145743,2
1291,104837,2
1292,107655,2
1293,315529,2
1294,107637,2
1295,1387268,2
1296,109298,2
1297,283462,2
1298,107814,2
1299,107875,2
1300,107892,2
1301,2407387,2
1302,874909,2
1303,107833,2
1304,104306,2
1305,107979,2
1306,107912,2
1307,108230,2
1308,284955,2
1309,107904,2
1310,107952,2
1311,108110,2
1312,108304,2
1313,104239,2
1314,108585,2
1315,94252,2
1316,108569,2
1317,109024,2
1318,109084,2
1319,103833,2
1320,109063,2
1321,186596,2
1322,793258,2
1323,109077,2
1324,109042,2
1325,793267,2
1326,103831,2
1327,109011,2
1328,109026,2
1329,1058090,2
1330,109286,2
1331,109269,2
1332,109070,2
1333,109079,2
1334,109125,2
1335,797143,2
1336,790488,2
1337,109246,2
1338,76966,2
1339,109404,2
1340,109207,2
1341,109191,2
1342,103794,2
1343,792537,2
1344,789896,2
1345,103753,2
1346,103757,2
1347,103708,2
1348,110655,2
1349,1505800,2
1350,108906,2
1351,145636,2
